Market Price Type,Centre,Variety Name,Grade,Unit,Max Price,Average Price,Min. Price
Farm Price,"PENDANG, KEDAH",PISANG MAS,F.A.Q,100 KG,150.00,150.00,150.00
Farm Price,"PENDANG, KEDAH",SAWI HIJAU,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,"PENDANG, KEDAH",TEMBIKAI MERAH,F.A.Q,100 KG,120.00,110.00,110.00
Farm Price,"PENDANG, KEDAH",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,120.00,110.00,110.00
Farm Price,"PENDANG, KEDAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,"PENDANG, KEDAH",TIMUN HIJAU ,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"KOTA BHARU, KELANTAN",AYAM HIDUP,F.A.Q,100 KG,800.00,790.00,790.00
Farm Price,"KOTA BHARU, KELANTAN",BAYAM ,F.A.Q,100 KG,400.00,380.00,380.00
Farm Price,"KOTA BHARU, KELANTAN",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,1.00
Farm Price,"KOTA BHARU, KELANTAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,900.00,850.00,850.00
Farm Price,"KOTA BHARU, KELANTAN",KACANG BENDI,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,"KOTA BHARU, KELANTAN",KACANG PANJANG HIJAU,F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,"KOTA BHARU, KELANTAN",KANGKUNG,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,"KOTA BHARU, KELANTAN",KELAPA DIKUPAS,SEDANG,100 BIJI,150.00,140.00,140.00
Farm Price,"KOTA BHARU, KELANTAN",KETOLA / PETOLA SEGI,F.A.Q,100 KG,130.00,100.00,100.00
Farm Price,"KOTA BHARU, KELANTAN",SAWI HIJAU,F.A.Q,100 KG,450.00,400.00,400.00
Farm Price,"KOTA BHARU, KELANTAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,120.00,110.00,110.00
Farm Price,"KOTA BHARU, KELANTAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,"KOTA BHARU, KELANTAN",TIMUN HIJAU ,F.A.Q,100 KG,260.00,250.00,250.00
Farm Price,"MELAKA TENGAH, MELAKA",AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,"MELAKA TENGAH, MELAKA",BAYAM ,F.A.Q,100 KG,170.00,160.00,160.00
Farm Price,"MELAKA TENGAH, MELAKA",BELIMBING (B10),F.A.Q,100 KG,140.00,135.00,130.00
Farm Price,"MELAKA TENGAH, MELAKA",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,0.80,0.80
Farm Price,"MELAKA TENGAH, MELAKA",CILI HIJAU,F.A.Q,100 KG,900.00,850.00,850.00
Farm Price,"MELAKA TENGAH, MELAKA",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,950.00,950.00,900.00
Farm Price,"MELAKA TENGAH, MELAKA",CILI MERAH MINYAK,F.A.Q,100 KG,950.00,950.00,900.00
Farm Price,"MELAKA TENGAH, MELAKA",KACANG BENDI,F.A.Q,100 KG,300.00,280.00,280.00
Farm Price,"MELAKA TENGAH, MELAKA",KACANG PANJANG HIJAU,F.A.Q,100 KG,400.00,400.00,380.00
Farm Price,"MELAKA TENGAH, MELAKA",KANGKUNG,F.A.Q,100 KG,170.00,160.00,160.00
Farm Price,"MELAKA TENGAH, MELAKA",KELAPA DIKUPAS,SEDANG,100 BIJI,110.00,110.00,110.00
Farm Price,"MELAKA TENGAH, MELAKA",KETOLA / PETOLA SEGI,F.A.Q,100 KG,250.00,220.00,220.00
Farm Price,"MELAKA TENGAH, MELAKA",PISANG BERANGAN,F.A.Q,100 KG,220.00,220.00,220.00
Farm Price,"MELAKA TENGAH, MELAKA",PISANG MAS,F.A.Q,100 KG,150.00,145.00,140.00
Farm Price,"MELAKA TENGAH, MELAKA",SAWI HIJAU,F.A.Q,100 KG,300.00,250.00,250.00
Farm Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"MELAKA TENGAH, MELAKA",TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH,F.A.Q,100 KG,190.00,180.00,170.00
Farm Price,"MELAKA TENGAH, MELAKA",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,190.00,180.00,170.00
Farm Price,"MELAKA TENGAH, MELAKA",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,500.00,480.00,480.00
Farm Price,"MELAKA TENGAH, MELAKA",TIMUN HIJAU ,F.A.Q,100 KG,180.00,180.00,170.00
Farm Price,"PILAH, NEGERI SEMBILAN",BAYAM ,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,"PILAH, NEGERI SEMBILAN",BETIK SEKAKI,F.A.Q,100 KG,200.00,175.00,150.00
Farm Price,"PILAH, NEGERI SEMBILAN",CILI HIJAU,F.A.Q,100 KG,650.00,625.00,600.00
Farm Price,"PILAH, NEGERI SEMBILAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,750.00,725.00,700.00
Farm Price,"PILAH, NEGERI SEMBILAN",KACANG BENDI,F.A.Q,100 KG,500.00,475.00,450.00
Farm Price,"PILAH, NEGERI SEMBILAN",KACANG PANJANG HIJAU,F.A.Q,100 KG,550.00,525.00,500.00
Farm Price,"PILAH, NEGERI SEMBILAN",KANGKUNG,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,"PILAH, NEGERI SEMBILAN",KELAPA DIKUPAS,SEDANG,100 BIJI,150.00,145.00,140.00
Farm Price,"PILAH, NEGERI SEMBILAN",KETOLA / PETOLA SEGI,F.A.Q,100 KG,350.00,325.00,300.00
Farm Price,"PILAH, NEGERI SEMBILAN",SAWI HIJAU,F.A.Q,100 KG,320.00,310.00,300.00
Farm Price,"PILAH, NEGERI SEMBILAN",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,150.00,135.00,120.00
Farm Price,"PILAH, NEGERI SEMBILAN",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,500.00,475.00,450.00
Farm Price,"PILAH, NEGERI SEMBILAN",TIMUN HIJAU ,F.A.Q,100 KG,280.00,265.00,250.00
Farm Price,"SEREMBAN, NEGERI SEMBILAN",AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"SEREMBAN, NEGERI SEMBILAN",TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,"CAMERON HIGHLANDS, PAHANG",CILI MERAH MINYAK,F.A.Q,100 KG,920.00,910.00,900.00
Farm Price,"CAMERON HIGHLANDS, PAHANG",DAUN BAWANG,F.A.Q,100 KG,330.00,320.00,310.00
Farm Price,"CAMERON HIGHLANDS, PAHANG",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,850.00,840.00,830.00
Farm Price,"CAMERON HIGHLANDS, PAHANG",KACANG BUNCIS,F.A.Q,100 KG,1120.00,1110.00,1100.00
Farm Price,"CAMERON HIGHLANDS, PAHANG",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,350.00,340.00,330.00
Farm Price,"CAMERON HIGHLANDS, PAHANG",TERUNG PEPARU PANJANG TANAH TINGGI,F.A.Q,100 KG,640.00,630.00,620.00
Farm Price,"CAMERON HIGHLANDS, PAHANG",TOMATO (TANAH TINGGI),F.A.Q,100 KG,250.00,240.00,230.00
Farm Price,"KUANTAN, PAHANG",AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,"KUANTAN, PAHANG",BAYAM ,F.A.Q,100 KG,250.00,200.00,200.00
Farm Price,"KUANTAN, PAHANG",BELIMBING (B10),F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,"KUANTAN, PAHANG",BETIK SEKAKI,F.A.Q,100 KG,120.00,120.00,120.00
Farm Price,"KUANTAN, PAHANG",BUNGA KANTAN,F.A.Q,TANGKAI,0.70,0.70,0.70
Farm Price,"KUANTAN, PAHANG",CILI HIJAU,F.A.Q,100 KG,750.00,650.00,650.00
Farm Price,"KUANTAN, PAHANG",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1100.00,1100.00
Farm Price,"KUANTAN, PAHANG",CILI MERAH MINYAK,F.A.Q,100 KG,900.00,900.00,850.00
Farm Price,"KUANTAN, PAHANG",KACANG BENDI,F.A.Q,100 KG,600.00,600.00,500.00
Farm Price,"KUANTAN, PAHANG",KACANG PANJANG HIJAU,F.A.Q,100 KG,600.00,600.00,500.00
Farm Price,"KUANTAN, PAHANG",KANGKUNG,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"KUANTAN, PAHANG",KETOLA / PETOLA SEGI,F.A.Q,100 KG,350.00,300.00,200.00
Farm Price,"KUANTAN, PAHANG",PISANG BERANGAN,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"KUANTAN, PAHANG",PISANG MAS,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"KUANTAN, PAHANG",SAWI HIJAU,F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,"KUANTAN, PAHANG",TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,"KUANTAN, PAHANG",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"KUANTAN, PAHANG",TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,"KUANTAN, PAHANG",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,120.00,120.00,120.00
Farm Price,"KUANTAN, PAHANG",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,500.00,400.00,400.00
Farm Price,"KUANTAN, PAHANG",TIMUN HIJAU ,F.A.Q,100 KG,250.00,250.00,200.00
Farm Price,"UTARA, PULAU PINANG",BAYAM ,F.A.Q,100 KG,220.00,190.00,150.00
Farm Price,"UTARA, PULAU PINANG",BETIK SEKAKI,F.A.Q,100 KG,330.00,315.00,300.00
Farm Price,"UTARA, PULAU PINANG",BUNGA KANTAN,F.A.Q,TANGKAI,0.60,0.55,0.50
Farm Price,"UTARA, PULAU PINANG",CILI HIJAU,F.A.Q,100 KG,600.00,550.00,500.00
Farm Price,"UTARA, PULAU PINANG",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,800.00,775.00,750.00
Farm Price,"UTARA, PULAU PINANG",KACANG BENDI,F.A.Q,100 KG,480.00,450.00,430.00
Farm Price,"UTARA, PULAU PINANG",KACANG PANJANG HIJAU,F.A.Q,100 KG,650.00,630.00,600.00
Farm Price,"UTARA, PULAU PINANG",KANGKUNG,F.A.Q,100 KG,220.00,190.00,150.00
Farm Price,"UTARA, PULAU PINANG",KETOLA / PETOLA SEGI,F.A.Q,100 KG,240.00,220.00,200.00
Farm Price,"UTARA, PULAU PINANG",PISANG BERANGAN,F.A.Q,100 KG,280.00,270.00,260.00
Farm Price,"UTARA, PULAU PINANG",PISANG MAS,F.A.Q,100 KG,300.00,290.00,280.00
Farm Price,"UTARA, PULAU PINANG",SAWI HIJAU,F.A.Q,100 KG,240.00,220.00,200.00
Farm Price,"UTARA, PULAU PINANG",TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,"UTARA, PULAU PINANG",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"UTARA, PULAU PINANG",TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,"UTARA, PULAU PINANG",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,560.00,545.00,530.00
Farm Price,"UTARA, PULAU PINANG",TIMUN HIJAU ,F.A.Q,100 KG,350.00,315.00,280.00
Farm Price,"MANJUNG (DINDING), PERAK",KELAPA DIKUPAS,SEDANG,100 BIJI,170.00,170.00,170.00
Farm Price,"KINTA, PERAK",AYAM HIDUP,F.A.Q,100 KG,650.00,650.00,650.00
Farm Price,"KINTA, PERAK",BAYAM ,F.A.Q,100 KG,140.00,100.00,80.00
Farm Price,"KINTA, PERAK",BELIMBING (B10),F.A.Q,100 KG,220.00,180.00,165.00
Farm Price,"KINTA, PERAK",BETIK SEKAKI,F.A.Q,100 KG,200.00,150.00,130.00
Farm Price,"KINTA, PERAK",BUNGA KANTAN,F.A.Q,TANGKAI,0.50,0.40,0.35
Farm Price,"KINTA, PERAK",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,900.00,800.00,600.00
Farm Price,"KINTA, PERAK",KACANG BENDI,F.A.Q,100 KG,500.00,450.00,400.00
Farm Price,"KINTA, PERAK",KACANG BUNCIS,F.A.Q,100 KG,750.00,700.00,600.00
Farm Price,"KINTA, PERAK",KACANG PANJANG HIJAU,F.A.Q,100 KG,500.00,450.00,400.00
Farm Price,"KINTA, PERAK",KANGKUNG,F.A.Q,100 KG,140.00,120.00,80.00
Farm Price,"KINTA, PERAK",KETOLA / PETOLA SEGI,F.A.Q,100 KG,300.00,280.00,250.00
Farm Price,"KINTA, PERAK",TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,"KINTA, PERAK",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"KINTA, PERAK",TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,"KINTA, PERAK",TIMUN HIJAU ,F.A.Q,100 KG,280.00,250.00,200.00
Farm Price,"HILIR PERAK, PERAK",CILI HIJAU,F.A.Q,100 KG,450.00,400.00,350.00
Farm Price,"PERAK TENGAH, PERAK",PISANG BERANGAN,F.A.Q,100 KG,220.00,220.00,200.00
Farm Price,"PERAK TENGAH, PERAK",PISANG MAS,F.A.Q,100 KG,200.00,200.00,180.00
Farm Price,"PERLIS, PERLIS",AYAM HIDUP,F.A.Q,100 KG,560.00,560.00,560.00
Farm Price,"PERLIS, PERLIS",BAYAM ,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"PERLIS, PERLIS",BETIK SEKAKI,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"PERLIS, PERLIS",BUNGA KANTAN,F.A.Q,TANGKAI,0.70,0.70,0.70
Farm Price,"PERLIS, PERLIS",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1100.00,1100.00
Farm Price,"PERLIS, PERLIS",KACANG BENDI,F.A.Q,100 KG,450.00,450.00,450.00
Farm Price,"PERLIS, PERLIS",KACANG PANJANG HIJAU,F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,"PERLIS, PERLIS",KANGKUNG,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"PERLIS, PERLIS",KETOLA / PETOLA SEGI,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"PERLIS, PERLIS",PISANG BERANGAN,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,"PERLIS, PERLIS",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,400.00,400.00,400.00
Farm Price,"PERLIS, PERLIS",TIMUN HIJAU ,F.A.Q,100 KG,300.00,300.00,300.00
Farm Price,"KLANG, SELANGOR",AYAM HIDUP,F.A.Q,100 KG,680.00,665.00,650.00
Farm Price,"KLANG, SELANGOR",BAYAM ,F.A.Q,100 KG,300.00,275.00,250.00
Farm Price,"KLANG, SELANGOR",BELIMBING (B10),F.A.Q,100 KG,350.00,325.00,300.00
Farm Price,"KLANG, SELANGOR",BETIK SEKAKI,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,"KLANG, SELANGOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1000.00,975.00,950.00
Farm Price,"KLANG, SELANGOR",KACANG BENDI,F.A.Q,100 KG,500.00,450.00,400.00
Farm Price,"KLANG, SELANGOR",KACANG PANJANG HIJAU,F.A.Q,100 KG,700.00,650.00,600.00
Farm Price,"KLANG, SELANGOR",KANGKUNG,F.A.Q,100 KG,310.00,265.00,220.00
Farm Price,"KLANG, SELANGOR",KELAPA DIKUPAS,SEDANG,100 BIJI,150.00,150.00,150.00
Farm Price,"KLANG, SELANGOR",KETOLA / PETOLA SEGI,F.A.Q,100 KG,500.00,450.00,400.00
Farm Price,"KLANG, SELANGOR",PISANG BERANGAN,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,"KLANG, SELANGOR",PISANG MAS,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,"KLANG, SELANGOR",SAWI HIJAU,F.A.Q,100 KG,420.00,370.00,320.00
Farm Price,"KLANG, SELANGOR",TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,"KLANG, SELANGOR",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"KLANG, SELANGOR",TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,"KLANG, SELANGOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,230.00,225.00,220.00
Farm Price,"KLANG, SELANGOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,600.00,550.00,500.00
Farm Price,"KLANG, SELANGOR",TIMUN HIJAU ,F.A.Q,100 KG,430.00,405.00,380.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",AYAM HIDUP,F.A.Q,100 KG,640.00,640.00,630.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1200.00,1100.00,1000.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",KACANG PANJANG HIJAU,F.A.Q,100 KG,600.00,600.00,600.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",KANGKUNG,F.A.Q,100 KG,500.00,450.00,400.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",SAWI HIJAU,F.A.Q,100 KG,600.00,550.00,500.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,200.00,200.00,180.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,450.00,400.00,400.00
Farm Price,"KUALA TERENGGANU, TERENGGANU",TIMUN HIJAU ,F.A.Q,100 KG,250.00,250.00,200.00
Farm Price,"KOTA KINABALU, SABAH",BAYAM ,F.A.Q,100 KG,160.00,150.00,150.00
Farm Price,"KOTA KINABALU, SABAH",BELIMBING (B10),F.A.Q,100 KG,250.00,250.00,200.00
Farm Price,"KOTA KINABALU, SABAH",BUNGA KANTAN,F.A.Q,TANGKAI,1.00,1.00,0.90
Farm Price,"KOTA KINABALU, SABAH",CILI HIJAU,F.A.Q,100 KG,1100.00,1000.00,1000.00
Farm Price,"KOTA KINABALU, SABAH",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1200.00,1200.00,1100.00
Farm Price,"KOTA KINABALU, SABAH",CILI MERAH MINYAK,F.A.Q,100 KG,1250.00,1200.00,1200.00
Farm Price,"KOTA KINABALU, SABAH",DAUN BAWANG,F.A.Q,100 KG,800.00,700.00,700.00
Farm Price,"KOTA KINABALU, SABAH",DAUN SUP (TANAH TINGGI),F.A.Q,100 KG,700.00,700.00,650.00
Farm Price,"KOTA KINABALU, SABAH",KACANG BENDI,F.A.Q,100 KG,200.00,200.00,180.00
Farm Price,"KOTA KINABALU, SABAH",KACANG BUNCIS,F.A.Q,100 KG,450.00,400.00,400.00
Farm Price,"KOTA KINABALU, SABAH",KACANG PANJANG HIJAU,F.A.Q,100 KG,200.00,200.00,160.00
Farm Price,"KOTA KINABALU, SABAH",KANGKUNG,F.A.Q,100 KG,120.00,100.00,100.00
Farm Price,"KOTA KINABALU, SABAH",KELAPA DIKUPAS,SEDANG,100 BIJI,120.00,100.00,100.00
Farm Price,"KOTA KINABALU, SABAH",KETOLA / PETOLA SEGI,F.A.Q,100 KG,160.00,160.00,150.00
Farm Price,"KOTA KINABALU, SABAH",KUBIS BULAT (TANAH TINGGI),F.A.Q,100 KG,180.00,180.00,160.00
Farm Price,"KOTA KINABALU, SABAH",PISANG BERANGAN,F.A.Q,100 KG,130.00,120.00,120.00
Farm Price,"KOTA KINABALU, SABAH",PISANG MAS,F.A.Q,100 KG,180.00,180.00,160.00
Farm Price,"KOTA KINABALU, SABAH",SAWI HIJAU,F.A.Q,100 KG,400.00,400.00,350.00
Farm Price,"KOTA KINABALU, SABAH",TELUR AYAM,A,100 BIJI,42.00,42.00,41.00
Farm Price,"KOTA KINABALU, SABAH",TELUR AYAM,B,100 BIJI,41.00,41.00,40.00
Farm Price,"KOTA KINABALU, SABAH",TELUR AYAM,C,100 BIJI,40.00,40.00,39.00
Farm Price,"KOTA KINABALU, SABAH",TEMBIKAI MERAH,F.A.Q,100 KG,160.00,150.00,150.00
Farm Price,"KOTA KINABALU, SABAH",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,160.00,160.00,150.00
Farm Price,"KOTA KINABALU, SABAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,160.00,160.00,150.00
Farm Price,"KOTA KINABALU, SABAH",TIMUN HIJAU ,F.A.Q,100 KG,120.00,100.00,100.00
Farm Price,"KOTA KINABALU, SABAH",TOMATO (TANAH TINGGI),F.A.Q,100 KG,450.00,450.00,400.00
Farm Price,"KUCHING, SARAWAK",AYAM HIDUP,F.A.Q,100 KG,785.00,765.00,750.00
Farm Price,"KUCHING, SARAWAK",BAYAM ,F.A.Q,100 KG,400.00,350.00,300.00
Farm Price,"KUCHING, SARAWAK",BELIMBING (B10),F.A.Q,100 KG,350.00,300.00,250.00
Farm Price,"KUCHING, SARAWAK",BETIK SEKAKI,F.A.Q,100 KG,200.00,200.00,200.00
Farm Price,"KUCHING, SARAWAK",BUNGA KANTAN,F.A.Q,TANGKAI,0.55,0.50,0.45
Farm Price,"KUCHING, SARAWAK",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1800.00,1800.00,1800.00
Farm Price,"KUCHING, SARAWAK",DAUN BAWANG,F.A.Q,100 KG,1800.00,1800.00,1800.00
Farm Price,"KUCHING, SARAWAK",KACANG BENDI,F.A.Q,100 KG,700.00,600.00,550.00
Farm Price,"KUCHING, SARAWAK",KACANG BUNCIS,F.A.Q,100 KG,800.00,800.00,800.00
Farm Price,"KUCHING, SARAWAK",KACANG PANJANG HIJAU,F.A.Q,100 KG,450.00,450.00,450.00
Farm Price,"KUCHING, SARAWAK",KANGKUNG,F.A.Q,100 KG,300.00,250.00,200.00
Farm Price,"KUCHING, SARAWAK",KELAPA DIKUPAS,SEDANG,100 BIJI,90.00,80.00,70.00
Farm Price,"KUCHING, SARAWAK",KETOLA / PETOLA SEGI,F.A.Q,100 KG,400.00,350.00,300.00
Farm Price,"KUCHING, SARAWAK",PISANG BERANGAN,F.A.Q,100 KG,250.00,250.00,250.00
Farm Price,"KUCHING, SARAWAK",PISANG MAS,F.A.Q,100 KG,150.00,150.00,150.00
Farm Price,"KUCHING, SARAWAK",SAWI HIJAU,F.A.Q,100 KG,850.00,800.00,750.00
Farm Price,"KUCHING, SARAWAK",TELUR AYAM,A,100 BIJI,43.00,43.00,43.00
Farm Price,"KUCHING, SARAWAK",TELUR AYAM,B,100 BIJI,41.00,41.00,41.00
Farm Price,"KUCHING, SARAWAK",TELUR AYAM,C,100 BIJI,39.00,39.00,39.00
Farm Price,"KUCHING, SARAWAK",TEMBIKAI MERAH,F.A.Q,100 KG,350.00,330.00,300.00
Farm Price,"KUCHING, SARAWAK",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,"KUCHING, SARAWAK",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,550.00,550.00,500.00
